City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
georgetown,5.4112,100.3354,85.95,74,20,1.14,MY,1655085846
tutoia,-2.7619,-42.2744,77.72,83,49,5.59,BR,1655085646
lianzhou,24.7811,112.3825,77.09,97,100,2.39,CN,1655085847
aden,12.7794,45.0367,85.93,80,100,13.24,YE,1655085847
cabedelo,-6.9811,-34.8339,74.07,81,7,6.89,BR,1655085847
north platte,41.1239,-100.7654,88.12,59,0,10.0,US,1655085847
grand-santi,4.25,-54.3833,71.83,99,58,0.94,GF,1655085849
nsanje,-16.92,35.262,61.36,97,1,1.92,MW,1655085849
geraldton,-28.7667,114.6,64.81,72,100,5.75,AU,1655085647
hit,33.6416,42.8251,82.76,30,0,16.89,IQ,1655085849
chulman,56.8479,124.9104,50.59,87,100,3.47,RU,1655085849
seoul,37.5683,126.9778,78.24,58,100,5.79,KR,1655085809
hanmer springs,-42.5167,172.8167,43.47,84,81,11.21,NZ,1655085850
grants,35.1473,-107.8514,82.63,13,0,8.05,US,1655085850
chokurdakh,70.6333,147.9167,65.75,20,12,11.25,RU,1655085850
shu,43.5983,73.7614,72.93,51,100,4.63,KZ,1655085851
eyl,7.9803,49.8164,80.89,61,100,25.57,SO,1655085704
wana,32.2989,69.5725,77.34,36,0,1.21,PK,1655085851
cody,44.5263,-109.0565,59.63,85,0,3.44,US,1655085852
dingle,10.9995,122.6711,86.76,66,51,5.32,PH,1655085852
north bend,43.4065,-124.2243,55.85,87,100,3.44,US,1655085852
hithadhoo,-0.6,73.0833,83.52,73,100,7.9,MV,1655085814
tarusan,8.6546,117.5104,86.79,63,99,2.19,PH,1655085853
les cayes,18.2,-73.75,79.72,84,62,11.07,HT,1655085853
tshikapa,-6.4167,20.8,73.63,46,100,2.04,CD,1655085854
felipe carrillo puerto,19.5833,-88.05,75.87,90,7,3.11,MX,1655085854
kavieng,-2.5744,150.7967,83.68,70,98,11.81,PG,1655085854
druzhba,52.0428,33.9453,56.82,95,0,6.11,UA,1655085855
pochutla,15.7432,-96.4661,80.82,84,86,1.34,MX,1655085856
koundara,12.4833,-13.3,74.79,88,100,2.37,GN,1655085856
solnechnyy,50.7214,136.6319,77.36,38,13,9.62,RU,1655085857
atambua,-9.1061,124.8925,81.05,52,40,4.5,ID,1655085857
saint-francois,46.4154,3.9054,65.64,88,0,4.61,FR,1655085858
nesbyen,60.5681,9.1027,49.01,84,40,3.0,NO,1655085858
ponta do sol,32.6667,-17.1,68.72,82,17,1.72,PT,1655085858
vardo,70.3705,31.1107,46.38,66,17,16.11,NO,1655085859
paamiut,61.994,-49.6678,35.1,74,87,25.1,GL,1655085859
tsabong,-26.0217,22.401,54.68,52,0,13.0,BW,1655085859
saskylakh,71.9167,114.0833,68.14,31,2,8.34,RU,1655085859
san rafael,-34.6177,-68.3301,51.15,40,99,7.85,AR,1655085860
luderitz,-26.6481,15.1594,58.89,60,73,6.6,NA,1655085860
khorixas,-20.3667,14.9667,57.33,50,0,2.46,NA,1655085617
beringovskiy,63.05,179.3167,43.59,61,20,5.53,RU,1655085860
puno,-15.8333,-70.0333,37.6,32,0,2.89,PE,1655085861
tubmanburg,6.8708,-10.8172,72.99,98,88,1.81,LR,1655085861
arcachon,44.5875,-1.0519,71.92,94,12,6.91,FR,1655085861
leningradskiy,69.3833,178.4167,35.62,84,99,8.66,RU,1655085862
bilma,18.6853,12.9164,88.34,13,13,8.19,NE,1655085862
buin,-33.7333,-70.75,57.06,54,7,1.5,CL,1655085862
quixere,-5.0742,-37.9886,72.45,96,66,5.68,BR,1655085843
dunedin,-45.8742,170.5036,45.81,74,100,14.0,NZ,1655085620
ayagoz,47.9714,80.4392,70.5,48,100,5.57,KZ,1655085863
bawku,11.0616,-0.2417,82.38,57,100,6.58,GH,1655085864
winkler,49.1817,-97.941,69.98,87,93,6.82,CA,1655085864
laguna,38.421,-121.4238,81.61,56,0,20.71,US,1655085864
shirokiy,49.758,129.523,70.03,67,100,12.59,RU,1655085864
saint anthony,45.0205,-93.218,75.11,76,0,11.5,US,1655085865
parauna,-16.9478,-50.4486,59.81,53,85,7.72,BR,1655085865
forfar,56.6431,-2.8903,47.44,88,11,6.58,GB,1655085866
letlhakane,-21.4167,25.5833,49.89,68,0,7.9,BW,1655085866
chapais,49.7834,-74.8492,56.98,99,100,5.32,CA,1655085867
makueni,-1.8041,37.6203,57.96,96,56,1.52,KE,1655085867
huarmey,-10.0681,-78.1522,63.93,82,7,10.42,PE,1655085867
port blair,11.6667,92.75,82.44,83,75,2.3,IN,1655085676
bouillante,16.1304,-61.7692,79.83,76,5,11.88,GP,1655085868
torbay,47.6666,-52.7314,51.76,88,96,7.0,CA,1655085721
cidreira,-30.1811,-50.2056,50.27,74,26,15.14,BR,1655085869
